17.39.42.230,2019-07-02,19:44:52,购物,珠宝配饰,观音
17.39.42.230,2019-07-22,02:13:53,游戏,休闲益智,手机弹钢琴
17.39.42.230,2019-07-24,22:29:09,购物,美妆,倩碧
17.39.42.230,2019-07-07,22:20:48,购物,乐器,尤克里里
17.39.42.230,2019-07-02,02:43:05,购物,母婴儿童,爬行垫
17.39.42.230,2019-07-13,05:02:21,游戏,动作冒险,Adventurous Commando
17.39.42.230,2019-07-21,08:32:28,音乐,民谣,Summer Dream (Amherst 2004)Sun City Girls
17.39.42.230,2019-07-04,12:35:32,音乐,嘻哈,Run This TownRihanna
17.39.42.230,2019-07-14,11:43:53,游戏,扑克棋牌,Gary's Adventure
17.39.42.230,2019-07-17,22:02:49,游戏,飞行射击,坦克VS战机
17.39.42.230,2019-07-06,21:02:47,购物,乐器,尤克里里
17.39.42.230,2019-07-29,15:06:36,电影电视,战争,"婚姻背后张嘉译,刘佳,金鑫,"
17.39.42.230,2019-07-09,03:07:15,游戏,经营策略,孤岛余生
17.39.42.230,2019-07-18,17:34:55,游戏,休闲益智,Colour Game of Ben ten for children
17.39.42.230,2019-07-24,08:12:38,电影电视,家庭,"小姨多鹤孙俪,姜武,闫学晶,"
17.39.42.230,2019-07-10,17:26:06,电影电视,恐怖,"夺命旅行黄品冠,"
17.39.42.230,2019-07-31,19:50:17,购物,母婴儿童,户外玩具
17.39.42.230,2019-07-18,10:21:19,电影电视,喜剧,"爱宠大机密（普通话）路易斯·C·K,凯文·哈特,艾瑞克·斯通斯崔特,"
17.39.42.230,2019-07-21,13:47:14,购物,男装,弹力
17.39.42.230,2019-07-03,18:47:36,购物,零食生鲜,展卉
17.39.42.230,2019-07-31,05:52:25,购物,男装,净色
17.39.42.230,2019-07-11,01:05:36,购物,乐器,小号
17.39.42.230,2019-07-13,20:41:39,电影电视,爱情,"超凡蜘蛛侠2安德鲁·加菲尔德,"
17.39.42.230,2019-07-11,21:38:24,购物,珠宝配饰,天然珍珠
17.39.42.230,2019-07-08,20:08:18,电影电视,恐怖,"黑夜勿怕凯蒂·霍尔姆斯,盖·皮尔斯,拜莉·麦迪逊,"
17.39.42.230,2019-07-20,00:26:42,游戏,经营策略,我的城市
17.39.42.230,2019-07-14,20:08:13,游戏,休闲益智,画个火柴人2
17.39.42.230,2019-07-25,13:58:04,游戏,扑克棋牌,Hello Stars Lite
17.39.42.230,2019-07-08,05:02:23,游戏,休闲益智,千炮捕鱼
17.39.42.230,2019-07-06,20:33:27,游戏,跑酷竞速,卷烟模拟器
17.39.42.230,2019-07-29,06:37:36,购物,珠宝配饰,海水黑珍珠
17.39.42.230,2019-07-28,17:41:31,游戏,动作冒险,雪球大作战
17.39.42.230,2019-07-29,04:15:52,电影电视,家庭,"有泪尽情流徐帆,丁海峰,沙玉华,"
17.39.42.230,2019-07-23,08:02:48,购物,书籍课程,考试必备
17.39.42.230,2019-07-17,03:53:09,游戏,角色扮演,东方异想穴
17.39.42.230,2019-07-29,22:22:51,电影电视,动画,"机器人9号伊利亚·伍德,"
17.39.42.230,2019-07-04,08:07:22,购物,零食生鲜,冲调饮品
17.39.42.230,2019-07-24,10:08:56,购物,母婴儿童,亲子装
17.39.42.230,2019-07-30,16:20:27,游戏,角色扮演,技能大师
17.39.42.230,2019-07-08,02:54:45,游戏,角色扮演,群雄无双
17.39.42.230,2019-07-07,20:37:20,购物,书籍课程,中医养生
17.39.42.230,2019-07-10,06:17:54,游戏,休闲益智,真人疯狂捕鱼
17.39.42.230,2019-07-29,09:40:55,电影电视,动画,"浪漫鼠德佩罗马修·布罗德里克,达斯汀·霍夫曼,艾玛·沃森,"
17.39.42.230,2019-07-22,08:46:21,购物,游戏动漫,游戏玩具
17.39.42.230,2019-07-24,20:06:32,电影电视,古装,"大明嫔妃之长门怨宋洋,何杜娟,关慧卿,"
